,iso_code,gdp_per_capita,population,total_cases,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,new_vaccinations,stringency_index,cases_per_capita
10639,BGR,18563.307,6948445.0,217014.0,598.0,28.0,281.0,2818.0,15651.0,3795.0,53.7,32.0184181665699
10640,BGR,18563.307,6948445.0,217574.0,560.0,29.0,265.0,2865.0,13276.0,4719.0,53.7,31.936007978894537
10641,BGR,18563.307,6948445.0,218269.0,695.0,35.0,257.0,2877.0,12297.0,3169.0,53.7,31.834319119984972
10642,BGR,18563.307,6948445.0,218618.0,349.0,20.0,261.0,2848.0,13582.0,215.0,53.7,31.78349907143968
10643,BGR,18563.307,6948445.0,218748.0,130.0,17.0,263.0,2866.0,4532.0,105.0,53.7,31.764610419295263
10644,BGR,18563.307,6948445.0,219580.0,832.0,97.0,264.0,2886.0,1961.0,1509.0,53.7,31.644252664177067
10645,BGR,18563.307,6948445.0,220547.0,967.0,36.0,265.0,2850.0,11569.0,3283.0,53.7,31.505506762730846
10646,BGR,18563.307,6948445.0,221266.0,719.0,40.0,279.0,2901.0,11452.0,4207.0,53.7,31.403130169117713
10647,BGR,18563.307,6948445.0,222149.0,883.0,54.0,284.0,2969.0,9875.0,3901.0,53.7,31.278308702717545
10648,BGR,18563.307,6948445.0,223059.0,910.0,30.0,277.0,3033.0,10540.0,2835.0,53.7,31.15070452212195
10655,BGR,18563.307,6948445.0,229010.0,966.0,33.0,293.0,3297.0,11813.0,3571.0,53.7,30.34122964062705
10658,BGR,18563.307,6948445.0,230747.0,1068.0,47.0,301.0,3425.0,1852.0,2048.0,53.7,30.11282920254651
10659,BGR,18563.307,6948445.0,232096.0,1349.0,32.0,289.0,3421.0,11085.0,3902.0,53.7,29.93780590790018
10660,BGR,18563.307,6948445.0,233342.0,1246.0,41.0,284.0,3513.0,11603.0,4582.0,53.7,29.77794396208141
10661,BGR,18563.307,6948445.0,234428.0,1086.0,42.0,296.0,3613.0,11544.0,4594.0,53.7,29.639996075554116
10662,BGR,18563.307,6948445.0,235891.0,1463.0,35.0,300.0,3704.0,10922.0,13754.0,53.7,29.456168315026854
10663,BGR,18563.307,6948445.0,236439.0,548.0,18.0,316.0,3775.0,13301.0,4088.0,53.7,29.38789708973562
10664,BGR,18563.307,6948445.0,236666.0,227.0,15.0,316.0,3846.0,5695.0,10998.0,53.7,29.359709463970322
10665,BGR,18563.307,6948445.0,238591.0,1925.0,79.0,321.0,3880.0,2792.0,11709.0,53.7,29.1228294445306
10666,BGR,18563.307,6948445.0,240391.0,1800.0,45.0,334.0,3933.0,13693.0,17163.0,53.7,28.90476348948172
